set_id,set_name,printed_total,last_updated,last_checked,cards_downloaded,set_complete
sm1,Sun & Moon,149,2019/04/10 19:59:00,2025-10-13 07:51:52,149,False
smp,SM Black Star Promos,248,2020/05/01 16:06:00,2025-10-13 07:51:52,4,False
sm2,Guardians Rising,145,2022/10/11 21:39:00,2025-10-13 07:51:52,145,False
sm3,Burning Shadows,147,2022/10/11 21:39:00,2025-10-13 07:51:52,147,False
sm35,Shining Legends,73,2022/10/11 21:39:00,2025-10-13 07:51:52,73,False
sm4,Crimson Invasion,111,2022/10/11 21:39:00,2025-10-13 07:51:52,111,False
sm5,Ultra Prism,156,2019/02/19 23:25:00,2025-10-13 07:51:52,156,False
sm6,Forbidden Light,131,2019/02/19 23:25:00,2025-10-13 07:51:52,131,False
sm7,Celestial Storm,168,2022/10/11 21:39:00,2025-10-13 07:51:52,168,False
sm75,Dragon Majesty,70,2018/10/01 21:54:00,2025-10-13 07:51:52,70,False
sm8,Lost Thunder,214,2020/08/14 09:35:00,2025-10-13 07:51:52,214,False
sm9,Team Up,181,2021/09/01 05:37:00,2025-10-13 07:51:52,181,False
det1,Detective Pikachu,18,2021/09/01 05:37:00,2025-10-13 07:51:52,18,False
sm10,Unbroken Bonds,214,2021/09/01 05:37:00,2025-10-13 07:51:52,214,False
sm11,Unified Minds,236,2021/09/01 05:37:00,2025-10-13 07:51:52,236,False
sm115,Hidden Fates,68,2021/09/01 05:37:00,2025-10-13 07:51:52,68,False
sma,Hidden Fates Shiny Vault,94,2021/09/01 05:37:00,2025-10-13 07:51:52,0,False
mcd19,McDonald's Collection 2019,12,2022/10/10 15:12:00,2025-10-13 07:51:52,12,False
sm12,Cosmic Eclipse,236,2021/09/01 05:37:00,2025-10-13 07:51:52,236,False
swshp,SWSH Black Star Promos,307,2022/07/23 20:15:00,2025-10-13 07:51:52,0,False
swsh1,Sword & Shield,202,2020/08/14 09:35:00,2025-10-13 07:51:52,202,False
swsh2,Rebel Clash,192,2020/09/25 10:09:00,2025-10-13 07:51:52,192,False
swsh3,Darkness Ablaze,189,2020/10/25 13:45:00,2025-10-13 07:51:52,189,False
swsh35,Champion's Path,73,2020/10/25 13:45:00,2025-10-13 07:51:52,73,False
swsh4,Vivid Voltage,185,2020/11/13 16:20:00,2025-10-13 07:51:52,185,False
swsh45,Shining Fates,72,2021/02/24 16:17:00,2025-10-13 07:51:52,72,False
